global_step,seed,eval_mean_reward
1024,9,-2.5424002e-05
2048,9,-0.01560069
3072,9,-0.072698615
4096,9,-0.09590102
5120,9,-0.8207775
6144,9,78.896805
7168,9,97.71058
8192,9,95.06101
9216,9,92.900986
10240,9,92.600395
11264,9,92.22599
12288,9,93.17833
13312,9,92.277435
14336,9,92.90802
15360,9,92.62764
16384,9,92.68564
17408,9,92.53304
18432,9,92.6666
19456,9,92.22053
20480,9,92.80036
1024,8,-1.9647528e-05
2048,8,-0.041642513
3072,8,-0.03473783
4096,8,-0.34550208
5120,8,-1.3634794
6144,8,-2.9846704
7168,8,-5.4257164
8192,8,-3.7822416
9216,8,-1.960533
10240,8,-2.2268848
11264,8,-6.901192
12288,8,-21.624472
13312,8,32.272594
14336,8,33.315056
15360,8,69.59007
16384,8,76.64593
17408,8,79.43621
18432,8,83.75802
19456,8,85.25192
20480,8,84.004974
1024,7,-1.0108929e-05
2048,7,79.08399
3072,7,97.82484
4096,7,95.70226
5120,7,95.5188
6144,7,92.14333
7168,7,92.795784
8192,7,92.609
9216,7,92.336136
10240,7,91.891464
11264,7,91.76112
12288,7,91.538376
13312,7,91.30119
14336,7,91.21835
15360,7,91.16036
16384,7,91.410385
17408,7,91.04874
18432,7,91.54728
19456,7,91.26345
20480,7,91.5663
1024,6,-4.575575e-06
2048,6,98.67998
3072,6,97.65561
4096,6,95.44228
5120,6,95.33685
6144,6,94.04242
7168,6,93.15899
8192,6,91.818886
9216,6,91.95899
10240,6,91.23125
11264,6,91.83919
12288,6,90.45137
13312,6,90.47443
14336,6,90.493065
15360,6,90.01658
16384,6,92.41316
17408,6,89.962944
18432,6,89.99646
19456,6,90.535164
20480,6,91.742645
1024,5,-1.9970041e-06
2048,5,59.41389
3072,5,-0.1990509
4096,5,79.35308
5120,5,98.19342
6144,5,96.4766
7168,5,94.88003
8192,5,93.95796
9216,5,93.83908
10240,5,91.88168
11264,5,92.17764
12288,5,91.99396
13312,5,89.984764
14336,5,89.27767
15360,5,89.07749
16384,5,88.918236
17408,5,88.997765
18432,5,89.28919
19456,5,89.33663
20480,5,89.355675
1024,4,-1.8962746e-05
2048,4,-0.011484794
3072,4,-0.01139123
4096,4,-0.0142013915
5120,4,-0.017423099
6144,4,-0.09556782
7168,4,-0.08674379
8192,4,-6.216743
9216,4,-41.706676
10240,4,93.28474
11264,4,92.87918
12288,4,94.51825
13312,4,93.73686
14336,4,93.15756
15360,4,94.86185
16384,4,93.569435
17408,4,93.49004
18432,4,93.95437
19456,4,93.518105
20480,4,94.115326
1024,3,-2.4436444e-05
2048,3,98.60385
3072,3,97.088646
4096,3,97.65837
5120,3,95.08169
6144,3,92.90944
7168,3,92.73511
8192,3,95.04815
9216,3,94.215744
10240,3,92.35079
11264,3,93.80802
12288,3,92.57856
13312,3,91.933464
14336,3,92.06483
15360,3,92.37621
16384,3,92.96455
17408,3,91.362335
18432,3,92.157936
19456,3,90.550514
20480,3,90.51766
1024,2,-2.7217486e-06
2048,2,-0.08818087
3072,2,-0.14797425
4096,2,93.59148
5120,2,91.93093
6144,2,95.64796
7168,2,96.40786
8192,2,95.14269
9216,2,94.25434
10240,2,91.75641
11264,2,90.43737
12288,2,90.065704
13312,2,90.04388
14336,2,89.978874
15360,2,90.07444
16384,2,90.03828
17408,2,90.37543
18432,2,89.83102
19456,2,90.4038
20480,2,89.92785
1024,1,-1.2332993e-05
2048,1,-0.02762006
3072,1,-0.0072267703
4096,1,-0.03701469
5120,1,-0.5655535
6144,1,-1.3638088
7168,1,-0.71186656
8192,1,-1.5217258
9216,1,-6.847326
10240,1,96.872284
11264,1,95.206825
12288,1,94.281105
13312,1,94.721016
14336,1,93.868355
15360,1,92.06755
16384,1,92.88578
17408,1,94.07034
18432,1,92.49572
19456,1,91.80786
20480,1,92.5614
1024,0,-3.029929e-05
2048,0,-0.0514382
3072,0,-0.072432585
4096,0,-0.28411332
5120,0,-0.45010576
6144,0,-0.14469625
7168,0,-0.29065958
8192,0,-2.7299874
9216,0,97.6882
10240,0,96.59987
11264,0,96.15986
12288,0,95.745285
13312,0,94.986885
14336,0,93.98636
15360,0,93.385414
16384,0,94.64869
17408,0,92.881516
18432,0,93.62372
19456,0,94.114876
20480,0,93.37702
